Options.SECTION:[Bruceyboy24804.NoPollution],无污染
Options.GROUP:PollutionToggles,切换污染类型
Options.OPTION:NoisePollution,噪音污染
Options.OPTION_DESCRIPTION:NoisePollution,是否允许产生噪音污染（勾选表示允许，不勾选则消除现有污染并禁用）
Options.OPTION:NetPollution,道路污染
Options.OPTION_DESCRIPTION:NetPollution,是否允许道路产生污染（勾选表示允许）
Options.OPTION:BuildingPollution,建筑污染
Options.OPTION_DESCRIPTION:BuildingPollution,是否允许建筑产生污染（勾选表示允许，大部分其他污染项依赖于此）
Options.OPTION:GroundPollution,土地污染
Options.OPTION_DESCRIPTION:GroundPollution,是否开启土地污染（勾选表示允许，不勾选则消除现有污染并禁用）
Options.OPTION:GroundWaterPollution,地下水污染
Options.OPTION_DESCRIPTION:GroundWaterPollution,是否开启地下水污染（勾选表示允许）
Options.OPTION:WaterPipePollution,水管污染
Options.OPTION_DESCRIPTION:WaterPipePollution,是否开启水管产生污染（勾选表示允许）
Options.OPTION:AirPollution,空气污染
Options.OPTION_DESCRIPTION:AirPollution,是否开启产生空气污染（勾选表示允许，不勾选则消除现有污染并禁用）
Options.GROUP:PollutionSliders,污染控制滑块
Options.OPTION:NoisePollutionControler,噪音污染
Options.OPTION_DESCRIPTION:NoisePollutionControler,控制产生噪音污染的百分比
